sampleid	Sample_ID	Source	Nanodrop_conc_(ng/ul)	A260/A280	A260/A230	Qubit_conc_(ng/ul)	Amount	Sample_Type	Sample_Type2	Building	Building-orig	for_ordering	PI	Insectary	Tray_Cage	Replicate	Collection_Date	group_for_novogene	sample_or_neg
S.119	L3MKGHC3	L3/L4	36.85	2.036	1.273	6.79	737	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray3	Replicate3	02/06/2023	ML3	sample
S.120	L3MKGHC4	L3/L4	49.9	2.097	1.479	13.8	998	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray3	Replicate4	02/06/2023	ML3	sample
S.121	L3MKGHC5	L3/L4	21.35	2.043	0.91	7.67	427	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray3	Replicate5	02/06/2023	ML3	sample
S.122	L3MKGHC6	L3/L4	37.65	2.074	1.191	13.2	753	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray3	Replicate6	02/06/2023	ML3	sample
S.123	L3MKGHC7	L3/L4	34.7	2.053	1.213	13.4	694	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray3	Replicate7	02/06/2023	ML3	sample
S.124	L3MKGHC8	L3/L4	104.85	2.125	1.908	21.5	2097	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray3	Replicate8	02/06/2023	ML3	sample
S.125	L3MKGHC9	L3/L4	65.55	2.156	1.683	13.8	1311	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray3	Replicate9	02/06/2023	ML3	sample
S.126	L3MKGHC10	L3/L4	6.3	2.52	0.384	0.386	126	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray3	Replicate10	02/06/2023	ML3	sample
S.127	L3ACPM1A1	L3/L4	7.35	2.262	0.431	0.342	147	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray1	Replicate1	02/06/2023	AL1	sample
S.128	L3ACPM1A2	L3/L4	6.55	2.22	0.412	0.305	131	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray1	Replicate2	02/06/2023	AL1	sample
S.129	L3ACPM1A3	L3/L4	7.15	2.043	0.413	0.301	143	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray1	Replicate3	02/06/2023	AL1	sample
S.130	L3ACPM1A4	L3/L4	6.75	1.957	0.682	0.406	135	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray1	Replicate4	02/06/2023	AL1	sample
S.131	L3ACPM1A5	L3/L4	7.45	2.443	0.447	0.439	149	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray1	Replicate5	02/06/2023	AL1	sample
S.132	L3ACPM1A6	L3/L4	5.85	2.294	0.299	0.287	117	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray1	Replicate6	02/06/2023	AL1	sample
S.133	L3ACPM1A7	L3/L4	6.05	2.161	0.346	0.418	121	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray1	Replicate7	02/06/2023	AL1	sample
S.134	L3ACPM1A8	L3/L4	6.65	2.375	0.368	0.233	133	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray1	Replicate8	02/06/2023	AL1	sample
S.135	L3ACPM1A9	L3/L4	6.65	2.293	0.459	0.399	133	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray1	Replicate9	02/06/2023	AL1	sample
S.136	L3ACPM1A10	L3/L4	6	2.105	0.341	0.257	120	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray1	Replicate10	02/06/2023	AL1	sample
S.137	L3ACPM1B1	L3/L4	86.9	2.143	1.344	15.2	1738	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray2	Replicate1	02/06/2023	AL2	sample
S.138	L3ACPM1B2	L3/L4	68.3	2.111	1.421	12.4	1366	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray2	Replicate2	02/06/2023	AL2	sample
S.139	L3ACPM1B3	L3/L4	55.75	2.124	0.965	11.2	1115	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray2	Replicate3	02/06/2023	AL2	sample
S.140	L3ACPM1B4	L3/L4	26.25	2.075	1.238	30.2	525	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray2	Replicate4	02/06/2023	AL2	sample
S.141	L3ACPM1B5	L3/L4	64.5	2.108	1.256	15	1290	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray2	Replicate5	02/06/2023	AL2	sample
